"appid","name","release","reviewCount","reviewScore","reviewSentiment","reviewSummary","url"
"570","Dota 2","Jul 9, 2013","549349 ","91","positive","Very Positive<br>91% of the 549,349 user reviews for this game are positive.","http://store.steampowered.com/app/570/?snr=1_7_7_230_150_1"
"730","Counter-Strike: Global Offensive","Aug 21, 2012","1272,589 ","93","positive","Very Positive<br>93% of the 1,272,589 user reviews for this game are positive.","http://store.steampowered.com/app/730/?snr=1_7_7_230_150_1"
"271590","Grand Theft Auto V","Apr 13, 2015","117106 ","83","positive","Very Positive<br>83% of the 117,106 user reviews for this game are positive.","http://store.steampowered.com/app/271590/?snr=1_7_7_230_150_1"
"364360","Total War™: WARHAMMER®","May 24, 2016","10702 ","75","positive","Mostly Positive<br>75% of the 10,702 user reviews for this game are positive.","http://store.steampowered.com/app/364360/?snr=1_7_7_230_150_1"
"379720","DOOM","May 12, 2016","14972 ","91","positive","Very Positive<br>91% of the 14,972 user reviews for this game are positive.","http://store.steampowered.com/app/379720/?snr=1_7_7_230_150_1"
"255710","Cities: Skylines","Mar 10, 2015","25519 ","93","positive","Very Positive<br>93% of the 25,519 user reviews for this game are positive.","http://store.steampowered.com/app/255710/?snr=1_7_7_230_150_1"
"428690","Youtubers Life","May 18, 2016","2126 ","84","positive","Very Positive<br>84% of the 2,126 user reviews for this game are positive.","http://store.steampowered.com/app/428690/?snr=1_7_7_230_150_1"
"359550","Tom Clancy's Rainbow Six® Siege","Dec 1, 2015","20135 ","74","positive","Mostly Positive<br>74% of the 20,135 user reviews for this game are positive.","http://store.steampowered.com/app/359550/?snr=1_7_7_230_150_1"
"230410","Warframe","Mar 25, 2013","89013 ","91","positive","Very Positive<br>91% of the 89,013 user reviews for this game are positive.","http://store.steampowered.com/app/230410/?snr=1_7_7_230_150_1"
"440","Team Fortress 2","Oct 10, 2007","358567 ","95","positive","Overwhelmingly Positive<br>95% of the 358,567 user reviews for this game are positive.","http://store.steampowered.com/app/440/?snr=1_7_7_230_150_1"
"281990","Stellaris","May 9, 2016","6905 ","86","positive","Very Positive<br>86% of the 6,905 user reviews for this game are positive.","http://store.steampowered.com/app/281990/?snr=1_7_7_230_150_1"
"411830","SENRAN KAGURA SHINOVI VERSUS","Jun 1, 2016","583 ","96","positive","Overwhelmingly Positive<br>96% of the 583 user reviews for this game are positive.","http://store.steampowered.com/app/411830/?snr=1_7_7_230_150_1"
"346110","ARK: Survival Evolved","Jun 2, 2015","74813 ","74","positive","Mostly Positive<br>74% of the 74,813 user reviews for this game are positive.","http://store.steampowered.com/app/346110/?snr=1_7_7_230_150_1"
"252950","Rocket League®","Jul 6, 2015","68244 ","93","positive","Very Positive<br>93% of the 68,244 user reviews for this game are positive.","http://store.steampowered.com/app/252950/?snr=1_7_7_230_150_1"
"374320","DARK SOULS™ III","Apr 11, 2016","21485 ","79","positive","Mostly Positive<br>79% of the 21,485 user reviews for this game are positive.","http://store.steampowered.com/app/374320/?snr=1_7_7_230_150_1"
"236390","War Thunder","Aug 15, 2013","54948 ","84","positive","Very Positive<br>84% of the 54,948 user reviews for this game are positive.","http://store.steampowered.com/app/236390/?snr=1_7_7_230_150_1"
