"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/shiaakuma/recommended/323270/","shiaakuma","shiaakuma","http://steamcommunity.com/id/shiaakuma/","696 products in account","With the vast number of hidden object games available, there are plenty of other places to spend your money that would be more satisfying.\n\nGameplay is the typical old-fashioned HO style: a handful of scenes to complete per chapter, then advancing to the next chapter and next set of scenes, etc.  This is pure hidden-object with an occasional minigame tossed in for variety.  If you're looking for more of a HO/Adventure game (i.e. the Artifex Mundi style), with puzzles and inventory and object usage, this is not the game you're looking for.\n\nGameplay itself is easy and the HO puzzles and minigames are not overly challenging.  Problems come in when objects are not well-labeled, making you search for something that actually is something else entirely.  There is also lack of precision with objects layered on top of other objects; there have been times in my playthrough where I couldn't click an objec that was directly behind another one, forcing me to pixel-hunt for a clickable spot (with the accompanying irritating error beep every time the top object blocked the other).\n\nThe dialogue is stilted and not believable.  Dialogue cutscenes that advance the game are tedious and hard to read due to the poor grammar and writing.  I don't expect these games to be the height of literature, but I do expect appropriate proofreading and quality control.  That said, I don't know this game's origins and it may actually be a poor translation into English if this was originally in a different language.\n\nI have a personal fascination with Templar history, which is why I picked this up, but unfortunately the tedium and poor writing vastly overpowered my love of Grail legends.  Given a choice, I would not purchase again, and I'm relieved I got this one on sale.  It's not godawful for what it is, but I would personally exhaust the myriad other HO games available first before considering this one.","March 20, 2015","false","2.9"," 8 of 8 people (100%) found this review helpful","100","8","8","0","0"
"http://steamcommunity.com/id/fartofpresto/recommended/323270/","fartofpresto","Fart of Presto","http://steamcommunity.com/id/fartofpresto/","3760 products in account","An old-school style Hidden Object game without any point-and-click adventuring parts.\nEven the separate mini game is a simple chinese checkers style game that only shows up a couple of times.\nScrolling screens, layered screens, find (and correct) errors in mirror mode, and best of all, time challenges on all the levels when you have completed the game.\nA nice change of pace from the new trend of casual point-and-click adventures with a few Hidden Object scenes thrown in for good measure.","September 27, 2014","true","3.1"," 8 of 10 people (80%) found this review helpful","80","8","10","0","0"
"http://steamcommunity.com/id/Stefneh/recommended/323270/","Stefneh","Stefneh","http://steamcommunity.com/id/Stefneh/","777 products in account","It’s a fair enough hidden object game, pretty standard as far as they go. Nothing too amazing about it but nothing all that bad either. I quite enjoyed it and I think if you’re a fan of the genre you will to.\n\nThe story is alright, it’s something you can follow but it’s not the most engrossing or thrilling. Also, I think it left on a cliff-hanger? I’m not entirely sure. I wasn’t paying all that much attention to be honest.\n\nIt’s quite short, took about 2 hours to complete. So if you want a nice quick game to play to kill a few hours this one is good for that.\n\nIn terms of art style/blending and all the other media,\nThere is no voice acting for one, but the music is quite relaxing. I found it mildly interesting that certain objects in the scenes make noises. Seeing as you can scroll your sight around the room in this game, it was quite handy a few times. For example, I needed to find a clock and I could hear a ticking coming from the far left of the room.\nThe art style is nice and the blending of objects can at times can be quite good. Was a few times I couldn’t find what I needed because it was blended in too well. I mean, it’s not amazing stuff but I’ve seen a lot worse.\n\nAll in all I think this one is neutral. I’m not going to leap at you to tell you to buy it now because it’s unmissable, I have no reason to really. But I also have no reason to tell you to stay clear of it.\n\n\nTL;DR : It’s alright, pretty standard really. Only notable thing being that it’s only about 2 hours playtime.\n","December 28, 2015","true","2.7"," 5 of 5 people (100%) found this review helpful","100","5","5","0","0"
"http://steamcommunity.com/id/beastette477/recommended/323270/","beastette477","Sil's Chaotic Soulmate","http://steamcommunity.com/id/beastette477/","481 products in account","This is an entertaining game. It's more than just a hidden object game - there's some other puzzle elements to it as well. It has some interesting history along the way to spend the time reading if you're not in a hurry. Plus at the end, it's just cool to find the Holy Grail. I'd play through this game more than once. It's well worth the $4.99.","February 9, 2015","true","6.3"," 3 of 4 people (75%) found this review helpful","75","3","4","0","0"
"http://steamcommunity.com/profiles/76561198063193728/recommended/323270/","76561198063193728","Sayanne","http://steamcommunity.com/profiles/76561198063193728/","217 products in account","Fun game with a little history on Templars.\nLike it, but was a little short.","April 5, 2015","true","2.8"," 1 person found this review helpful","0","1","1","0","0"
"http://steamcommunity.com/profiles/76561198117791534/recommended/323270/","76561198117791534","Kharmakazi","http://steamcommunity.com/profiles/76561198117791534/","159 products in account","I clicked Recommend, but there's a caviat...  I would only recommend this game IF you like HO games and IF you have an interest in the Templar history.  If you're not big fans of both, don't bother with this game; stick to the Artifex Mundi titles.\n\nThe objects in the HO scenes are nicely done, but be aware that you may have some difficulty clicking on some items like the flashlight, especially if they overlap.  You can tell from the character dialog that English is not the native language, and I'm OK with that, but some of their labels are misleading if not inaccurate. (I'm a female and even I know a Leatherman multi-tool is not a swiss army pocketknife).\n\nI also found the ending very abrupt and rather stupid.  Anyone with any knowledge of the Holy Grail would understand that they wouldn't let her just run off with the real one that easily and other reasons she should have realized it was a fake.  Of course the "bad guys" believe you to be stupid, Jane.  You know all about Templar/Holy Grail history, but you couldn't figure those things out?  I know - it leaves room for a sequel.  Not sure I'll play it if they do make one, though...","July 20, 2015","true","3.0"," No ratings yet","0","0","0","0","0"
"http://steamcommunity.com/id/pacalon/recommended/323270/","pacalon","Pacalon","http://steamcommunity.com/id/pacalon/","785 products in account","This one is a miss. The story seems like it could have some potential, but the spelling and grammar are both awful enough to distract you. The hidden object puzzles are pretty straight forward and easy, and there isn't really much movement or progression. The game is broken into chapters and you basically click a scene, complete it, then click the next scene, etc. There are much better HO games out there. If you're desperate for options, or find this one for a buck, give this one a shot; otherwise I'd say it's worth skipping.","December 13, 2015","false","6.0"," No ratings yet","0","0","0","0","0"
"http://steamcommunity.com/profiles/76561197970078168/recommended/323270/","76561197970078168","hermetico","http://steamcommunity.com/profiles/76561197970078168/","762 products in account","Old fashioned hidden-object game. Graphic resolution is a mess to find out objects.\nStory is so so.","October 5, 2015","false","2.9"," No ratings yet","0","0","0","0","0"
